source_id,source_code,source_name,title,owner,official_url,release_year,retrieved_at,access_mode,update_frequency,automation_status,source_role,latest_snapshot_id,is_official,free_access,license_or_terms,license_note,terms_url,storage_allowed,transformation_allowed,redistribution_allowed,release_archive_decision,review_status,evidence_path,notes
HTEI_SCIENTIFIC_V5,HTEI_SCIENTIFIC_V5,HTEI scientific methodology v5,HTEI scientific methodology v5,MGIMO / FNISC RAS project team,local:docs/HTEI_METHODOLOGY_V5.md,2026,2026-07-10T20:08:17+00:00,local reproducible transform,on every official-source refresh,implemented_reproducible_scientific_transform,numeric_source,HTEI_SCIENTIFIC_V5:2026:a49882386ca873a0,False,True,Project methodology; underlying official sources retain their own terms,No third-party raw data embedded in this manifest,local:docs/HTEI_METHODOLOGY_V6.md,1,1,1,include,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
IEP_GPI,IEP_GPI,Global Peace Index 2026,Global Peace Index 2026,Institute for Economics & Peace,https://www.visionofhumanity.org/wp-content/uploads/2026/06/Global-Peace-Index-2026-Report.pdf,2026,2026-07-16T20:42:15Z,official_pdf_report_with_verified_country_table_extract,annual,implemented_official_pdf_extract,numeric_source,IEP_GPI:2026:ad3ab8ddc8163420,True,True,"Institute for Economics & Peace / Vision of Humanity report terms apply. This patch stores attributed, published country-level values and provenance; it does not redistribute the report PDF.",The official PDF is referenced by URL and SHA-256; the patch bundles only attributed country-level values.,https://www.visionofhumanity.org/maps/,1,1,1,include,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"The official report PDF is not included. Review redistribution terms before any public data export beyond attributed country-level values. | Normalised to central GIR include/exclude_raw_keep_derived policy; operator rights recorded. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
ILOSTAT_HTEI,ILOSTAT_HTEI,ILOSTAT bulk labour force indicators for HTEI,ILOSTAT bulk labour force indicators for HTEI,International Labour Organization,https://rplumber.ilo.org/files/website/bulk/indicator.html,2025,2026-07-09T17:25:10+00:00,official bulk CSV API,regular,implemented_official_bulk_csv,numeric_source,ILOSTAT_HTEI:2025:1e92f6f00fc35885,True,True,ILOSTAT bulk data terms,ILOSTAT bulk data terms,https://www.ilo.org/about-ilo/legal-notice,1,1,1,include,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
IMF_AIPI,IMF_AIPI,IMF AI Preparedness Index 2023,Artificial Intelligence Preparedness Index,International Monetary Fund,https://data360files.worldbank.org/data360-data/data/IMF_AI/IMF_AI_WIDEF.csv,2023,2026-07-18T09:40:00+00:00,IMF dataset delivered as a public World Bank Data360 CSV,irregular,implemented_verified_derived_export_with_optional_official_download_recheck,numeric_source,IMF_AIPI:2023:1eb1ed4c7fa23ca6,True,True,IMF data reuse terms; Data360 is the machine-readable delivery channel,IMF data reuse terms apply to the statistical data. The raw CSV and IMF PDFs are excluded from the cumulative patch; a verified factual export and retrieval recipe are supplied.,https://www.imf.org/en/about/copyright-and-terms,1,1,1,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"IMF statistical data terms permit reuse subject to attribution and stated conditions. The cumulative patch nevertheless excludes the raw Data360 CSV and IMF PDFs, retaining a deterministic factual export, source hashes and a retrieval recipe. This project record is not legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
IMF_FINANCIAL_DEVELOPMENT_INDEX,IMF_FDI,IMF Financial Development Index,International Monetary Fund Financial Development Index SDMX snapshot,International Monetary Fund,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.MCM/FDI/1.0.0/*?startPeriod=1980&endPeriod=2023&dimensionAtObservation=AllDimensions&attributes=dsd&measures=all&includeHistory=false,2025,2026-07-21T17:19:46+00:00,internal_offline_academic_release,periodic IMF data release,official_sdmx_cli_import,numeric_source,IMF_FINANCIAL_DEVELOPMENT_INDEX:2025:0005a97a4cd09611,True,True,"IMF Copyright and Usage terms; internal offline academic release authorized by project owner, 2026-07-21","GIR internal offline academic release, authorized by project owner, 2026-07-21; official IMF SDMX snapshot cached locally with attribution.",https://www.imf.org/en/about/copyright-and-terms,1,1,0,internal_offline_academic_release_local_only,project_owner_attested,local:internal_offline_academic_release,"GIR internal offline academic release, authorized by project owner, 2026-07-21. Raw/source files remain local and are not public release artifacts."
ITU_GCI,ITU_GCI,ITU Global Cybersecurity Index 2024,Global Cybersecurity Index 2024 (fifth edition),International Telecommunication Union; machine-readable delivery via World Bank Data360,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/GCIv5/2401416_1b_Global-Cybersecurity-Index-E.pdf,2024,2026-07-17T16:45:00+00:00,official report plus public machine-readable Data360 mirror of the ITU dataset,edition-based,implemented_verified_derived_export_and_hash_locked_source_recipe,numeric_source,ITU_GCI:2024:3a26fe025c436d22,True,True,ITU Terms of Use and World Bank Data360 terms,GIR excludes the raw CSV and report from the patch and distributes only factual derived rows plus a deterministic download recipe.,https://www.itu.int/en/about/Pages/terms-of-use.aspx,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"The patch excludes the raw report and Data360 CSV. It includes factual derived rows, expected source hashes and a deterministic download recipe. This project record is not legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
ITU_IDI,ITU_IDI,ITU ICT Development Index 2025 dataset,ITU ICT Development Index 2025 dataset,ITU,https://www.itu.int/itu-d/reports/statistics/wp-content/uploads/sites/5/2025/06/IDIDataset_2025.xlsx,2025,2026-07-09T05:00:13+00:00,official downloadable XLSX,annual,implemented_official_download,numeric_source,ITU_IDI:2025:136cd8261e7a9a37,True,True,ITU dataset terms,ITU dataset terms,https://www.itu.int/en/about/Pages/terms-of-use.aspx,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
KOF_ETH_GLOBALISATION_INDEX,KOF_ETH_GLOBALISATION_INDEX,KOF Globalisation Index,KOF Globalisation Index,"KOF Swiss Economic Institute, ETH Zurich",https://ethz.ch/content/dam/ethz/special-interest/dual/kof-dam/documents/Globalization/2025/KOFGI_2025_public.xlsx,2025,2026-07-20T17:58:07Z,official downloadable workbook,annual,implemented_verified_official_import,numeric_source,KOF_ETH_GLOBALISATION_INDEX:2025:7318c4f2c11f639c,True,True,ETH Zurich copyright and citation terms,The patch contains code and metadata only; source workbooks are not redistributed.,https://kof.ethz.ch/footer/disclaimer-copyright.html,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative source-handling policy for the Economy & Finance module family; dataset-specific terms remain authoritative. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
NATIONAL_STATS_HTEI,NATIONAL_STATS_HTEI,Curated national statistical office evidence register for HTEI,Curated national statistical office evidence register for HTEI,National statistical offices,local:methodology/national-statistics-register,2026,2026-07-09T17:25:48+00:00,checksum-verified official-file register,curated per release,implemented_audit_register,audit_register,NATIONAL_STATS_HTEI:2026:c7115d3d4f492094,False,True,Source-specific national statistical office terms recorded per snapshot,Source-specific national statistical office terms recorded per snapshot,local:docs/DATA_DISTRIBUTION_POLICY.md,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
NATIONAL_STATS_NUMERIC,NATIONAL_STATS_NUMERIC,National statistical offices — numeric layer,National statistics numeric layer,National statistical offices,local:configs/national_statistics_sources.release.json,2024,2026-07-11T11:47:37+00:00,official CSV/JSON endpoints,source-specific,configured,numeric_source,NATIONAL_STATS_NUMERIC:STATFIN_RD_FTE_11SV:20260711T114737+0000,True,True,Source-specific official terms,Distribution decisions are recorded separately.,local:docs/DATA_DISTRIBUTION_POLICY.md,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
ND_GAIN_ARCHIVAL_PANEL_1995_2021,ND_GAIN,ND-GAIN archival headline panel 1995–2021,ND-GAIN archival headline panel 1995–2021,Notre Dame Global Adaptation Initiative; verified mirror by 360info,https://github.com/360-info/report-climate-resilience-vulnerability/raw/refs/heads/main/data/ndgain-readiness-vulnerability-allyears.csv,2021,2026-07-17T07:55:00+00:00,checksummed bundled CSV mirror; provenance-separated from current release,archival_fixed_release,implemented_archival_panel_backend_and_frontend,numeric_source,ND_GAIN_ARCHIVAL_PANEL_1995_2021:2021:9354ff788765f79f,True,True,Creative Commons Attribution 3.0 Unported; attribution required,Creative Commons Attribution 3.0 Unported; attribution required,https://gain-new.crc.nd.edu/about/download,1,1,1,include,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Imported from the reviewed ecology patch; original scientific and licensing boundaries preserved. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
NOTRE_DAME_ND_GAIN_COUNTRY_INDEX_2026,ND_GAIN_CURRENT,ND-GAIN Country Index 2026 official release descriptor and technical report,ND-GAIN Country Index 2026 official release descriptor and technical report,"Notre Dame Global Adaptation Initiative, University of Notre Dame",https://gain.nd.edu/assets/647440/ndgain_countryindex_2026.zip,2026,2026-06-26T00:00:00+00:00,official downloadable archive; bundled technical report; deterministic importer,annual_or_publisher_schedule,release_descriptor_and_local_importer_implemented,numeric_source,NOTRE_DAME_ND_GAIN_COUNTRY_INDEX_2026:2026:5b6637f86ae33d63,True,True,Creative Commons Attribution 3.0 Unported; attribution required,Creative Commons Attribution 3.0 Unported; attribution required,https://gain.nd.edu/our-work/country-index/download-data/,1,1,1,include,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Imported from the reviewed ecology patch; original scientific and licensing boundaries preserved. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
OECD_HTEI,OECD_HTEI,OECD Data Explorer SDMX datasets for R&D and business technology capacity,OECD Data Explorer SDMX datasets for R&D and business technology capacity,OECD,https://sdmx.oecd.org/public/rest/v1/,2025,2026-07-09T17:25:18+00:00,official SDMX CSV API,regular,implemented_official_sdmx_api,numeric_source,OECD_HTEI:2025:41699485c3cff3a6,True,True,OECD Data Explorer terms,OECD Data Explorer terms,https://www.oecd.org/en/about/terms-conditions.html,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
OECD_PISA,OECD_PISA,OECD Programme for International Student Assessment (PISA),OECD PISA student performance,OECD,https://www.oecd.org/en/data/datasets/pisa-2022-database.html,2022,2026-07-17T00:00:00+00:00,"official public database, downloadable tables and SDMX API",triennial,implemented_official_seed_and_import,numeric_source,OECD_PISA:2022:67398b2bc3c8d985,True,True,OECD open-access terms / CC BY 4.0 where applicable,Attribution required. GIR publishes official domain means and a clearly labelled project composite; OECD branding is not used.,https://www.oecd.org/en/about/oecd-open-by-default-policy.html,1,1,1,include,project_policy_approved,docs/PISA_SCHOOL_KNOWLEDGE_BACKEND.md,Project distribution decision based on the cited OECD open-access terms; this is not legal advice. Do not use the OECD logo or imply endorsement. Third-party materials remain outside the licence.
OXFORD_INSIGHTS_GARI,OXFORD_INSIGHTS_GARI,Oxford Insights Government AI Readiness Index 2025 — corrected report,Government AI Readiness Index 2025,Oxford Insights,https://oxfordinsights.com/wp-content/uploads/2026/01/2025-Government-AI-Readiness-Index-Report_01_26.pdf,2025,2026-07-17T21:45:00+00:00,official corrected PDF report and methodology,annual,implemented_verified_derived_export_with_optional_pdf_recheck,numeric_source,OXFORD_INSIGHTS_GARI:2025:e31993095b7209e3,True,True,Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0),Corrected January 2026 report is licensed CC BY-SA 4.0; raw PDFs are excluded from the patch under the conservative archive policy.,https://creativecommons.org/licenses/by-sa/4.0/,1,1,1,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Raw official PDFs are conservatively excluded although the report states CC BY-SA 4.0; hashes, recipe and factual export are delivered. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
PORTULANS_GTCI,PORTULANS_GTCI,Global Talent Competitiveness Index 2025 report,Global Talent Competitiveness Index 2025 report,INSEAD / Portulans Institute,https://portulansinstitute.org/wp-content/uploads/2025/11/GTCI_2025_report.pdf,2025,2026-07-09T05:00:09+00:00,official PDF report extraction,annual,implemented_official_pdf_extract,numeric_source,PORTULANS_GTCI:2025:4e77bd2b04217ff5,True,True,INSEAD and Portulans Institute report terms; platform stores extracted country rank and score with provenance,INSEAD and Portulans Institute report terms; platform stores extracted country rank and score with provenance,https://www.insead.edu/about-insead/website-terms-use,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
PORTULANS_NRI,PORTULANS_NRI,Network Readiness Index 2025 report,Network Readiness Index 2025 report,Portulans Institute,https://download.networkreadinessindex.org/reports/data/2025/nri-2025.pdf,2025,2026-07-16T20:39:20+00:00,official downloadable PDF,annual,implemented_verified_derived_export_and_official_pdf_parser,numeric_source,PORTULANS_NRI:2025:51e8fd14f3b04612,True,True,Creative Commons Attribution-NonCommercial-NoDerivatives 3.0 Unported,Conservative GIR delivery policy excludes the raw report and supplies factual derived rows plus an official-host download recipe.,https://creativecommons.org/licenses/by-nc-nd/3.0/,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"The official report states CC BY-NC-ND 3.0 terms. In accordance with GIR's conservative distribution policy, the patch excludes the raw PDF and includes factual derived rows plus a deterministic official-host download recipe. Transformation permission remains unresolved pending legal review; this project record is not legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
QS_ET,QS_ET,QS World University Rankings by Subject: Engineering & Technology,QS World University Rankings by Subject: Engineering & Technology,QS Quacquarelli Symonds,https://www.topuniversities.com/university-subject-rankings/engineering-technology,2026,2026-07-09T11:57:08+00:00,official public JSON endpoint archive,annual,implemented_official_web_endpoint,numeric_source,QS_ET:2026:14f3abf0a83ef973,True,True,QS TopUniversities ranking terms; public endpoint responses archived for reproducible non-commercial analysis.,QS TopUniversities ranking terms; public endpoint responses archived for reproducible non-commercial analysis.,https://www.topuniversities.com/terms-and-conditions,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
SEC_EDGAR_CORPORATE_NUMERIC,SEC_EDGAR_CORPORATE_NUMERIC,SEC EDGAR Company Facts - corporate numeric layer,SEC EDGAR Company Facts,U.S. Securities and Exchange Commission,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,2026,2026-07-11T11:48:17+00:00,official JSON API,daily,automated,numeric_source,SEC_EDGAR_CORPORATE_NUMERIC:TSM:20260711T114817+0000,True,True,SEC public data and fair-access policy,Legal redistribution decision remains subject to the project legal register.,https://www.sec.gov/about/privacy-information#security,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
SHANGHAI_ARWU,SHANGHAI_ARWU,ShanghaiRanking Academic Ranking of World Universities 2025,Academic Ranking of World Universities (ARWU) 2025,ShanghaiRanking Consultancy,https://www.shanghairanking.com/rankings/arwu/2025,2025,2026-07-21T16:38:08+00:00,internal_offline_academic_release; official/public acquisition archived locally; private raw storage with GIR country aggregation published inside the local platform,annual,published_internal_offline_academic_release_loaded,numeric_source,SHANGHAI_ARWU:2025:df5144193a0e2be2,True,False,"ShanghaiRanking copyright notice and the user's applicable download, Tracker or written-permission terms","No scraping. Raw redistribution is disabled by default. Import requires recorded rights for storage, transformation and publication of the derived GIR country layer.",https://www.shanghairanking.com/rankings/arwu/2025,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,docs/ARWU_2025_BACKEND.md,"Internal offline academic release authorized by the project owner on 2026-07-21. Storage, transformation, institution-row display and derived country publication are enabled inside the local GIR platform; raw redistribution remains disabled. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
SIPRI_MILEX,SIPRI_MILEX,SIPRI Military Expenditure Database 1949–2025,"SIPRI Military Expenditure Database 1949–2025, workbook v1.2",Stockholm International Peace Research Institute (SIPRI),https://www.sipri.org/sites/default/files/SIPRI-Milex-data-1949-2025_v1.2.xlsx,2026,2026-07-17T00:00:00Z,internal_offline_academic_release,annual,official_workbook_imported_internal_offline_release,numeric_source,SIPRI_MILEX:2026:6cc3a30b1064f9f0,True,False,"SIPRI terms and conditions apply; the operator must assess purpose, scope and permission before importing or exposing data.","GIR internal offline academic release, authorized by project owner, 2026-07-21; official SIPRI workbook imported with project-owner authorization for the local offline academic release",https://www.sipri.org/about/terms-and-conditions,1,1,0,internal_offline_academic_release_local_only,project_owner_attested,local:internal_offline_academic_release,"GIR internal offline academic release, authorized by project owner, 2026-07-21. Raw/source files remain local and are not public release artifacts."
SPECIALIZED_RATINGS_HTEI,SPECIALIZED_RATINGS_HTEI,Specialized rankings evidence used by HTEI and training-system model,Specialized rankings evidence used by HTEI and training-system model,"QS, WIPO, Portulans and other official ranking publishers",local:methodology/specialized-ratings-register,2026,2026-07-09T17:25:48+00:00,derived from archived official ranking snapshots,annual,implemented_audit_register,audit_register,SPECIALIZED_RATINGS_HTEI:2026:b0a6848a4a8e5ab3,False,True,Source-specific ranking terms; numeric layers keep original source provenance,Source-specific ranking terms; numeric layers keep original source provenance,local:docs/DATA_DISTRIBUTION_POLICY.md,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
